"chain","compression","delay_ms","count","mean","median","std","p95"
"large","off",0,100,209.71836,199.81900000000002,102.54314204536428,210.31865000000002
"large","off",50,100,306.38663,306.7015,18.956107053382375,314.9554
"large","zlib",0,100,163.05912,161.4825,11.830896012141304,171.725
"large","zlib",50,100,213.64327,214.5615,4.4166385335982214,219.96575
"medium","off",0,100,181.9588,154.6895,6.382008412227097,160.38190000000003
"medium","off",50,100,303.88791000000003,306.0785,5.834620832971529,310.11995
"medium","zlib",0,100,163.24365,164.131,7.396444483498457,172.89974999999998
"medium","zlib",50,100,214.88663,215.59050000000002,4.685284171830787,223.53025
"small","off",0,100,162.5272,162.527,9.133518272845576,177.27675
"small","off",50,100,218.25464,214.654,40.92708211212383,221.35795000000002
"small","zlib",0,100,162.01808,163.1585,6.546954007889019,171.54525
"small","zlib",50,100,214.20761,214.8015,5.048805473074746,221.5206
